"company_name","phone_number","location"
"Absolute gym and fitness center","075688 25309","C, 19, Park Ave Rd, behind wtp, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017"
"Lifetime Fitness Club","099505 50885","3rd Floor, at V Cube, Plot no. 1-6, opp. Gaurav Tower Marg, Kalyan Colony, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017"
"Colosseum Gym","N/A","Virasat Apartment, 10/806/A, Gaurav Tower Marg, Vidhyadhar Nagar, Siddharth Nagar, Sector 10, Malviya Nagar, Jaipur, Rajasthan 302017"
"SEVEN CORE FITNESS - Modern Fitness Gym in Malviya Nagar Jaipur | Best Amenities | 24 Hours GYM","070358 57777","H-1, SL Marg, near Fort Restaurant, Lal Bahadur Nagar, Malviya Nagar, Jaipur, Rajasthan 302017"
"QUANTUM FITNESS - CrossFit Gym in Malviya Nagar Jaipur","070620 56789","2nd & 3rd Floor, E-48, SL Marg, Lal Bahadur Nagar, Chandrakala Colony, Durgapura, Jaipur, Rajasthan 302018"
"Metabolistix Fitness and Slimming Centre Malviya Nagar","098290 06920","B, 32, Mahalaxmi Nagar Rd, behind world trade park, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017"
"The Fitness Konnection Gym","097820 03480","5/307, Girdhar Marg, Sector 5, Malviya Nagar, Jaipur, Rajasthan 302017"
"Anytime Fitness","080580 51678","Gt Square Mall, 4th, opposite Gaurav Tower Marg, Kalyan Colony, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017"
"Core X GYM - Gym in Malviya Nagar Jaipur | Gym Near Me","096678 92319","1st & 2nd Floor, 4/32, Pradhan Marg, Vidyut Abhiyanta Colony, Sector 4, Malviya Nagar, Jaipur, Rajasthan 302017"
"Cult Gym Malviya Nagar, Jaipur, Rajasthan","083066 69744","3rd Floor, Gt Square Mall, 43, Sector 9 Rd, opposite Gaurav Tower Marg, Kalyan Colony, D-Block, Sector 4, Malviya Nagar, Jaipur, Rajasthan 302017"
"The Figure Point 2 | Gym Girdhar Marg Jaipur","089468 37575","E-56, Brij Mohan Marg, Sector 13, Siddharth Nagar, Sector 12, Malviya Nagar, Jaipur, Rajasthan 302017"
"Strong24 Fitness Club","N/A","C-25, Mahalaxmi Nagar Rd, behind World Trade Park, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017"
